Pair_ID,Role,Expected_Match,Baseline_Score,GraphRAG_Score,Improvement,Baseline_Correct,GraphRAG_Correct,Implicit_Skills_Count,Skill_Gaps_Count,Implicit_Skills,Skill_Gaps
1,Junior Software Engineer,True,0.7002,0.8201,0.1199,True,True,233,0,"kubernetes, computer graphics, javascript framework, use an application-specific interface, ict project management, db2, characteristics of services, django, manage several projects, assembly (computer programming), continuous improvement philosophies, oversee development of software, ajax framework, decision support systems, triplestore, angular, swift (computer programming), webcms, xcode, quality control systems, c++, decentralized application frameworks, manage database, customer relationship management, devops, bengali, project management methodology (pm²), use object-oriented programming, maintain a central project repository, detect bottlenecks, scala, web application security threats, digital systems, operate open source software, use methodologies for user-centered design, agile development, jsss, business requirements techniques, java (computer programming), data models, proxy servers, tools for software configuration management, world wide web consortium standards, change window displays, office software, perl, manage donor database, serve food in table service, joomla, apply ict system usage policies, sql server, next.js, logging, use session border controller, css, kali linux, japanese, embedded systems, web programming, maintain database security, design control systems, latin, web based collaborative platforms, set window, sparql, visual basic, internet of things, php, hardware platforms, prototyping development, cobol, computer programming, database quality standards, resource description framework query language, coffeescript, set up documentation control system, operate on-board computer systems, ibm websphere, manage project metrics, mdx, install operating system, troubleshoot website, maintain telephony system, typescript, asp.net, mobile operating systems, genomics, node.js, performance diagnosis, write javanese, information security strategy, use query languages, manage data, install roof windows, develop with cloud services, eclipse (integrated development environment software), develop blockchain technology, manage ict project, lisp, apl, use markup languages, database development tools, lean manufacturing, manage backlogs, ict system programming, oracle relational database, protect window frames, lean project management, information extraction, ansible, manage meteorological database, inspect printing output, standards for web-based e-learning, design user interface, 3d texturing, jenkins (tools for software configuration management), ibm informix, database management systems, maintain warehouse database, give battle commands, quality assurance methodologies, operating systems, types of glazing, abap, understand written javanese, hardware architectures, develop software prototype, use databases, software frameworks, react, diagnose fuel systems, project configuration management, apply basic programming skills, microwave principles, vbscript, log transmitter readings, understand spoken javanese, use scripting programming, objectstore, ajax, smart contract, integrated development environment software, groovy, docker, drupal, investigate security issues, manage software releases, sass, microsoft visual c++, ict debugging tools, database, data storage, operations management, manage membership database, unstructured data, oracle weblogic, ict project management methodologies, filemaker (database management systems), android (mobile operating systems), apache maven, manage research and development projects, install containers, oracle application development framework, structure information, 3d lighting, wildfly, inspect data, nosql, service-oriented modelling, ldap, operate relational database management system, data science, sap r3, use office systems, manage engineering project, object-oriented modelling, root cause analysis, domain name service, services marketing, mobile device software frameworks, apache tomcat, n1ql, troubleshoot, c#, cisco, javanese, install windshields, use computer telephony integration, implement front-end website design, diagnose problems with vehicles, gimp (graphics editor software), algorithms, common lisp, project management, style sheet languages, smalltalk (computer programming), define database physical structure, sell services, manage findable accessible interoperable and reusable data, fastapi, manage front operations, debug software, use concurrent programming, use content management system software, microsoft visio, organisational policies, python (computer programming), rapid application development, manage project changes, computer science, ict architectural frameworks, property management software, software design methodologies, manage project information, microsoft access, perform project management, six sigma methods , cyber attack counter-measures, use e-services, iterative development, report on window damage, diagnose defective engines, agile project management, information structure, maintain logistics databases, customise project methodologies, maintain database performance, objective-c, design web-based courses, track changes in text editing, identify problems, use software design patterns, neo4j",
2,Frontend React Developer,True,0.8435,0.7215,-0.122,True,True,170,6,"smart contract programming languages, kubernetes, incremental development, computer graphics, web strategy assessment, package purchases in bags, javascript framework, use an application-specific interface, configure media integration systems, create prototype of user experience solutions, develop software prototype, adapt existing designs to changed circumstances, unified modelling language, query languages, develop strategies for accessibility, use interface description language, react, software frameworks, integrated pest management, develop animations, develop product design, project configuration management, microwave principles, vbscript, log transmitter readings, system design, use scripting programming, ajax framework, ajax, integrate community outreach, integrated development environment software, triplestore, style hair, angular, docker, handle delivered packages, manage software releases, webcms, sass, xcode, c++, personal development, quality control systems, microsoft visual c++, international development, master language rules, decentralized application frameworks, web services, industrial research and development, sas language, design management, devops, develop the physical language, maintain a central project repository, develop visual elements, make folding styles, apache maven, typography, ergonomics, agile development, design the digital interface of gambling, betting and lottery games, 3d lighting, systems development life-cycle, java (computer programming), environmental design, packaging functions, data models, tools for software configuration management, world wide web consortium standards, perl, program management, architectural design, apply ict system usage policies, software components libraries, next.js, web analytics, writing style guides, python, nosql, design application interfaces, service-oriented modelling, use session border controller, package fish, sap r3, css, web programming, design control systems, web based collaborative platforms, sparql, visual basic, design graphics, prototyping development, cisco, draft styling schedule, codenvy, use computer telephony integration, implement front-end website design, java, usability engineering, computer programming, gimp (graphics editor software), manage packaging material, set up documentation control system, coffeescript, resource description framework query language, landscape design, project management, neo4j, style sheet languages, create website wireframe, support managers, maintain telephony system, typescript, set up media integration systems, asp.net, manage findable accessible interoperable and reusable data, manage front operations, fastapi, define integration strategy, genomics, node.js, use content management system software, organisational policies, python (computer programming), test package, use query languages, manage project changes, design package, maintain responsive design, execute integration testing, develop with cloud services, eclipse (integrated development environment software), develop blockchain technology, design a media integration system , integrated design, manage logistics, integrate and re-elaborate digital content, software ui design patterns, use markup languages, human-computer interaction, supplier management, integrate system components, differentiate types of packages, ml (computer programming), design component interfaces, iterative development, manage supplies, ansible, graphic design, standards for web-based e-learning, design user interface, design principles, develop digital content, application usability, 3d texturing, design thinking, jenkins (tools for software configuration management), evaluate integrated design of buildings, integrate ict data, translate requirements into visual design, objective-c, database management systems, integrate new products in manufacturing, design web-based courses, track changes in text editing, integrate content into output media, software interaction design, ict system integration, operate media integration systems, manage processes","Hooks, Context API, Redux, Zustand, Webpack, Babel"
3,Backend Python Developer,True,0.6765,0.6859,0.0094,True,True,165,3,"cloud technologies, abap, detect flaws in bottles, kubernetes, javascript framework, apply techniques for stacking goods into containers, manufacturing of metal containers, develop software prototype, db2, use databases, software frameworks, react, develop animations, assembly (computer programming), project configuration management, microwave principles, vbscript, log transmitter readings, oversee development of software, use scripting programming, ajax framework, develop educational resources, smart contract, integrated development environment software, decision support systems, drupal, angular, swift (computer programming), communicate in healthcare, manage software releases, informatica powercenter, webcms, sass, xcode, c++, decentralized application frameworks, manage database, web services, manage membership database, develop reporting software, devops, data engineering, bengali, filemaker (database management systems), maintain a central project repository, scala, install containers, drug interaction management, agile development, systems development life-cycle, java (computer programming), moor vessels, tools for software configuration management, world wide web consortium standards, manage donor database, perl, pentaho data integration, apply ict system usage policies, sql server, next.js, health psychology, inform policy makers on health-related challenges, prepare containers for beverage fermentation, nosql, manage storage tanks, operate relational database management system, use session border controller, coordinate dock operations, data science, dock operations, maintain database security, web programming, web based collaborative platforms, maintain aquaculture containers, install recycling containers, mobile device software frameworks, internet of things, php, conduct clinical software research, n1ql, prototyping development, develop automated software tests, museum databases, cisco, cobol, create software design, implement front-end website design, java, spark, computer programming, gimp (graphics editor software), database quality standards, handle glassware, set up documentation control system, coffeescript, prepare containers for beverage distillation, industrial software, manage project metrics, clinical science, apply flux, network engineering, project management, mdx, clean industrial containers, maintain telephony system, fill kettle, typescript, asp.net, search databases, fastapi, debug software, use concurrent programming, prepare flambeed dishes, node.js, glassware products, haskell, genomics, organisational policies, python (computer programming), rapid application development, information security strategy, develop data processing applications, manage data, manage project changes, ict architectural frameworks, develop with cloud services, develop blockchain technology, write dock records, document management, lisp, manage project information, develop financial products, microsoft access, database development tools, samurai web testing framework, control open-fire kettles, cyber attack counter-measures, ict system programming, develop instrumentation systems, oracle relational database, types of containers, iterative development, information extraction, buddhism, ansible, manage meteorological database, danish, security engineering, spring boot, maintain logistics databases, jenkins (tools for software configuration management), maintain database performance, software components suppliers, objective-c, ibm informix, database management systems, hadoop, maintain warehouse database, follow clinical guidelines, design web-based courses, track changes in text editing, manufacturing of steel drums and similar containers, develop statistical software, neo4j, recruit employees","MongoDB, RESTful API design, AWS"
4,Full Stack Developer,True,0.6154,0.6359,0.0205,True,True,167,5,"sakai, smart contract programming languages, kubernetes, understand written javanese, javascript framework, ict project management, develop software prototype, query languages, db2, use databases, software frameworks, react, develop animations, django, manage several projects, project configuration management, apply basic programming skills, microwave principles, software architecture models, continuous improvement philosophies, vbscript, log transmitter readings, understand spoken javanese, use scripting programming, oversee development of software, ajax, ajax framework, objectstore, decision support systems, angular, augmented reality, groovy, docker, manage software releases, webcms, sass, xcode, c++, database, decentralized application frameworks, manage database, web services, sas language, compose description for web elements, manage membership database, develop reporting software, devops, oracle weblogic, project management methodology (pm²), use object-oriented programming, filemaker (database management systems), prolog (computer programming), maintain a central project repository, apache maven, typography, manage research and development projects, qlikview expressor, use methodologies for user-centered design, agile development, java (computer programming), data models, tools for software configuration management, world wide web consortium standards, manage donor database, erlang, perl, joomla, wildfly, apply ict system usage policies, less, sql server, next.js, nosql, service-oriented modelling, operate relational database management system, use session border controller, data science, manage engineering project, object-oriented modelling, japanese, maintain database security, web programming, web based collaborative platforms, absorb (learning management systems), sparql, php, apache tomcat, n1ql, prototyping development, develop automated software tests, c#, cisco, javanese, implement front-end website design, computer programming, gimp (graphics editor software), database quality standards, set up documentation control system, coffeescript, resource description framework query language, manage project metrics, create scorm packages, project management, style sheet languages, smalltalk (computer programming), mdx, create website wireframe, maintain telephony system, typescript, asp.net, manage findable accessible interoperable and reusable data, manage front operations, fastapi, genomics, microsoft visio, organisational policies, python (computer programming), develop learning curriculum, rapid application development, write javanese, information security strategy, use query languages, develop data processing applications, manage data, manage project changes, develop with cloud services, develop blockchain technology, property management software, manage ict project, canvas (learning management systems), document management, software design methodologies, software ui design patterns, manage project information, develop financial products, use markup languages, microsoft access, database development tools, reconstruct program theory, manage backlogs, perform project management, use functional programming, ict system programming, ml (computer programming), develop instrumentation systems, sql, oracle relational database, iterative development, information extraction, ansible, manage meteorological database, design principles, design user interface, agile project management, develop digital content, maintain logistics databases, jenkins (tools for software configuration management), maintain database performance, define software architecture, objective-c, ibm informix, database management systems, maintain warehouse database, design web-based courses, track changes in text editing, use software design patterns, neo4j","HTML5, CSS3, Vue.js, MongoDB, RESTful API"
5,Data Scientist,True,0.6781,0.5915,-0.0866,True,True,223,7,"cloud technologies, sakai, abap, kubernetes, kazakh, learning technologies, data analytics, customer segmentation, chinese, statistics, bathymetry, db2, use databases, software frameworks, react, perform data cleansing, prepare well data sheets, django, assembly (computer programming), project configuration management, interpret visual literacy, vbscript, perform data mining, oversee development of software, smart contract, manage ict data classification, decision support systems, make data-driven decisions, cognitive computing, docker, angular, swift (computer programming), manage software releases, advise on learning methods, implement data quality processes, sass, xcode, use spreadsheets software, c++, promote the participation of citizens in scientific and research activities, identify statistical patterns, database, apply blended learning, manage database, marine engineering, deliver visual presentation of data, visual presentation techniques, data storage, use learning strategies, data engineering, devops, bengali, classify library materials, metasploit, filemaker (database management systems), maintain a central project repository, document analysis results, artificial neural networks, scala, computer assisted language learning, develop classification systems, blood type classification, postgresql, empirical analysis, statistical modeling techniques, norwegian, assist water-based navigation, portuguese, agile development, build predictive models, supervise data entry, java (computer programming), tools for software configuration management, perl, communicate with external laboratories, develop predictive models, polish, data mining methods, sql server, synfig, nosql, data quality assessment, signal processing, ldap, organisational learning, cleaning techniques, operate relational database management system, utilise machine learning, medical statistics, debt classification, information categorisation, web programming, computational physics, matlab, experimental psychology, internet of things, php, reflexion, prevent sea pollution, n1ql, assist students in their learning, deep learning, marine biology , prototyping development, collect samples for analysis, museum databases, javanese, cobol, think abstractly, implement front-end website design, animal species, java, computer programming, gimp (graphics editor software), database quality standards, typology, build recommender systems, set up documentation control system, mathematical physics, network engineering, project management, data visualisation software, develop occupational classification systems, business intelligence, mdx, clean negatives, prepare raw materials, classify audio-visual products, supervise spoken language learning, prepare visual data, search databases, fastapi, use concurrent programming, advise on soil and water protection, conduct analysis of ship data, genomics, node.js, data extraction, transformation and loading tools, work under supervision in care, manage cleaning activities, python (computer programming), handle data samples, fishing vessels, information security strategy, wildlife, machine translation, develop data processing applications, manage data, manage project changes, computer science, data mining, use data processing techniques, develop with cloud services, teradata database, operational research, medication classification, develop blockchain technology, classify books, classify insurance claims, assess environmental impact, define data quality criteria, document management, use maritime english, analyse scientific data, moodle, refraction of the eye, scientific computing, manage project information, microsoft access, database development tools, process data, perform project management, manage open publications, environmental legislation, ml (computer programming), cyber attack counter-measures, supervision of persons, oceanography, cook seafood, solve problems, oracle relational database, perform data analysis, disseminate results to the scientific community, supervise educational staff, iterative development, compile gis-data, carry out statistical forecasts, organism taxonomy, plot show control cues, create data sets, information extraction, read zoo reports, remove contaminated materials, develop geological databases, marine technology, conduct research across disciplines, javascript, buddhism, ansible, normalise data, danish, epidemiology, business analytics, provide learning support, security engineering, spring boot, maintain logistics databases, r, computer vision, jenkins (tools for software configuration management), mammalogy, objective-c, ibm informix, database management systems, perform online data analysis, fish identification and classification, maintain warehouse database, track changes in text editing, supervise work, actuarial science, marine energy, communicate analytical insights, neo4j","TensorFlow, PyTorch, Tableau, Power BI, statistical modeling, hypothesis testing, experimental design"
6,Data Analyst,True,0.842,0.7909,-0.0511,True,True,172,2,"write specifications, abap, smart contract programming languages, create a financial report, kazakh, data analytics, hardware architectures, chinese, db2, query languages, use databases, machine learning, software frameworks, manage product testing, perform data cleansing, adobe illustrator, identify customer's needs, django, assembly (computer programming), interpret visual literacy, vbscript, data warehouse, perform data mining, use scripting programming, smart contract, create gis reports, make data-driven decisions, swift (computer programming), healthcare analytics, informatica powercenter, implement data quality processes, use spreadsheets software, microsoft visual c++, c++, database, manage database, visual presentation techniques, deliver visual presentation of data, data storage, sas language, analyse big data, manage membership database, develop reporting software, data engineering, bengali, unstructured data, metasploit, filemaker (database management systems), produce reports based on animal records, create incident reports, scala, artificial neural networks, postgresql, structure information, manage contracts, portuguese, analyse environmental data, manage business knowledge, java (computer programming), write production reports, data models, tools for software configuration management, follow translation quality standards, office software, manage donor database, pentaho data integration, perl, use sales forecasting softwares, polish, data mining methods, sql server, analyse test data, synfig, data quality assessment, nosql, task algorithmisation, speak different languages, cleaning techniques, operate relational database management system, analyse experimental laboratory data, data science, mechatronics, news analytics, generate reconciliation reports, sql server integration services, maintain database security, web programming, business analysis, matlab, visual basic, internet of things, php, use microsoft office, write security reports, javanese, cobol, animal species, java, computer programming, database quality standards, industrial software, data visualisation software, style sheet languages, business intelligence, analyse large-scale data in healthcare, clean negatives, analyse data for aeronautical publications, typescript, define database physical structure, prepare visual data, statistical analysis system software, fastapi, produce airport lighting system reports, use concurrent programming, microsoft visio, data extraction, transformation and loading tools, manage cleaning activities, python (computer programming), use query languages, wildlife, use software libraries, manage data, computer science, develop financial statistics reports, data mining, use data processing techniques, write meeting reports, define data quality criteria, software design methodologies, mysql, use specific data analysis software, analyse scientific data, perform safety data analysis, scientific computing, process data, microsoft access, database development tools, use markup languages, report on production results, principles of artificial intelligence, cyber attack counter-measures, ml (computer programming), oracle relational database, perform data analysis, industrial engineering, plot show control cues, read zoo reports, javascript, buddhism, marketing analytics, ansible, manage meteorological database, keep sheet records, normalise data, danish, business analytics, design principles, information structure, interpret business information, create risk reports, maintain logistics databases, report analysis results, use word processing software, mammalogy, maintain database performance, write routine reports, database management systems, perform online data analysis, maintain warehouse database, develop statistical software, adobe photoshop, communicate analytical insights","Tableau, R"
7,Machine Learning Engineer,True,0.6065,0.6306,0.0241,True,True,230,5,"cloud technologies, abap, kubernetes, incremental development, understand written javanese, kazakh, learning technologies, data analytics, chinese, statistics, food engineering, db2, use databases, engineering processes, use interface description language, react, integrated pest management, perform data cleansing, prepare parts for post processing, django, assembly (computer programming), project configuration management, interpret visual literacy, vbscript, understand spoken javanese, perform data mining, safety engineering, smart contract, integrated development environment software, make data-driven decisions, groovy, cognitive computing, docker, swift (computer programming), angular, manage software releases, quantitative analysis, financial engineering, advise on learning methods, prepare fruits and vegetables for pre-processing, implement data quality processes, sass, xcode, promote the participation of citizens in scientific and research activities, c++, use spreadsheets software, microsoft visual c++, international development, engineering principles, database, identify statistical patterns, apply blended learning, manage database, visual presentation techniques, deliver visual presentation of data, use learning strategies, data storage, industrial research and development, apply control process statistical methods, analyse big data, manage membership database, data engineering, devops, wireshark, bengali, unstructured data, metasploit, oracle weblogic, maintain a central project repository, document analysis results, artificial neural networks, scala, computer assisted language learning, postgresql, apache maven, image recognition, empirical analysis, statistical modeling techniques, apply statistical analysis techniques, portuguese, agile development, analyse environmental data, build predictive models, systems development life-cycle, supervise data entry, java (computer programming), oracle warehouse builder, traffic engineering, tools for software configuration management, manage donor database, perl, communicate with external laboratories, joomla, develop predictive models, polish, data mining methods, sql server, analyse test data, synfig, next.js, data quality assessment, nosql, signal processing, ldap, organisational learning, cleaning techniques, operate relational database management system, utilise machine learning, medical statistics, japanese, maintain database security, natural language processing, computational physics, matlab, visual basic, internet of things, php, perform dimensionality reduction, apache tomcat, assist students in their learning, deep learning, prototyping development, collect samples for analysis, codenvy, javanese, cobol, think abstractly, animal species, usability engineering, computer programming, gimp (graphics editor software), database quality standards, build recommender systems, set up documentation control system, coffeescript, mathematical physics, network engineering, project management, data visualisation software, business intelligence, mdx, clean negatives, sketchbook pro, supervise spoken language learning, typescript, prepare visual data, prepress processes, statistical analysis system software, fastapi, use concurrent programming, advise on soil and water protection, conduct analysis of ship data, biostatistics, genomics, node.js, work under supervision in care, manage cleaning activities, python (computer programming), handle data samples, write javanese, wildlife, machine translation, manage data, manage project changes, computer science, data mining, use data processing techniques, automotive engineering, eclipse (integrated development environment software), statistical quality control, assess environmental impact, define data quality criteria, integrated design, document management, surface engineering, mysql, analyse scientific data, use specific data analysis software, scientific computing, manage project information, process data, database development tools, perform project management, integrate system components, manage open publications, production engineering, environmental legislation, cyber attack counter-measures, ml (computer programming), supervision of persons, disseminate results to the scientific community, oracle relational database, solve problems, perform data analysis, supervise educational staff, iterative development, industrial engineering, carry out statistical forecasts, plot show control cues, read zoo reports, remove contaminated materials, conduct research across disciplines, javascript, buddhism, marketing analytics, ansible, manage meteorological database, normalise data, danish, business analytics, provide learning support, security engineering, spring boot, maintain logistics databases, design engineering components, computer vision, jenkins (tools for software configuration management), mammalogy, evaluate integrated design of buildings, maintain database performance, objective-c, database management systems, perform online data analysis, maintain warehouse database, track changes in text editing, create database diagrams, supervise work, actuarial science, communicate analytical insights, ict system integration","TensorFlow, PyTorch, AWS, Azure, GCP"
8,DevOps Engineer,True,0.8158,0.6015,-0.2143,True,True,214,18,"cloud technologies, abap, smart contract programming languages, kubernetes, incremental development, understand written javanese, supercomputing, plan migration to cloud, detect flaws in bottles, hardware architectures, javascript framework, apply techniques for stacking goods into containers, manufacturing of metal containers, wordpress, query languages, run laboratory simulations, software frameworks, react, develop animations, django, project configuration management, apply basic programming skills, vbscript, utilise computer-aided software engineering tools, lab scale fermentation, use scripting programming, pharmaceutical drug development, understand spoken javanese, manage clinical environments, ajax framework, integrated development environment software, install automation components, design cloud architecture, drupal, implement a firewall, angular, groovy, manage software releases, cognitive computing, read scripts, metalworking tools, sass, xcode, webcms, c++, microsoft visual c++, ict debugging tools, decentralized application frameworks, puppet (tools for software configuration management), web services, sas language, devops, bengali, maintain control systems for automated equipment, metasploit, oracle weblogic, android (mobile operating systems), blockchain platforms, maintain a central project repository, clinical biology, scala, apache maven, postgresql, install containers, operate open source software, implement cloud security and compliance, agile development, automatic control system, good laboratory practice, java (computer programming), moor vessels, remove computer virus or malware from a computer, tools for software configuration management, office software, change window displays, mechanical tools, perl, penetration testing tool, world wide web consortium standards, joomla, monitor automated machines, intensive care medicine, openedge advanced business language, use it tools, sql server, teach electronics and automation principles, prepare containers for beverage fermentation, nosql, web analytics, ldap, manage storage tanks, coordinate dock operations, data science, dock operations, mechatronics, kali linux, embedded systems, japanese, web programming, design control systems, latin, set window, manage clinical risk, web based collaborative platforms, maintain aquaculture containers, install recycling containers, select scripts, mobile device software frameworks, visual basic, internet of things, conduct clinical software research, php, apache tomcat, hardware platforms, prototyping development, develop automated software tests, design cloud networks, c#, install windshields, javanese, learning management systems, operate automated process control, implement front-end website design, manage cloud data and storage, spark, computer programming, gimp (graphics editor software), automate cloud tasks, handle glassware, set up documentation control system, ibm websphere, prepare containers for beverage distillation, ict encryption, clinical science, apply flux, chef (tools for software configuration management), style sheet languages, install operating system, clean industrial containers, fill kettle, clinical immunology, green computing, asp.net, fastapi, mobile operating systems, microsoft visio, genomics, use content management system software, node.js, prepare flambeed dishes, glassware products, maintain automated lighting equipment, python (computer programming), robotics, haskell, write javanese, use query languages, manage project changes, install roof windows, computer science, clinical cytology, execute integration testing, develop with cloud services, eclipse (integrated development environment software), ict architectural frameworks, write dock records, distributed computing, industrial tools, automation technology, building automation, mysql, execute software tests, lisp, apl, install low voltage wiring, microsoft access, database development tools, cloud security and compliance, use markup languages, samurai web testing framework, linguistics, ict system programming, ml (computer programming), control open-fire kettles, modern languages, types of containers, iterative development, molecular and cellular immunology, protect window frames, tools for ict test automation, implement ict security policies, perform manual work autonomously, javascript, report on window damage, ansible, design automation components, deploy cloud resource, assist in clinical trials, spring boot, test pipeline infrastructure operations, jenkins (tools for software configuration management), manage tests, network management system tools, objective-c, database management systems, hadoop, design web-based courses, track changes in text editing, manufacturing of steel drums and similar containers, develop automated migration methods, cloud monitoring and reporting, use automatic programming, edit scripts, types of glazing","EC2, S3, RDS, Lambda, VPC, ECS, EKS, GitLab CI/CD, Azure DevOps, Terraform, CloudFormation, Bash, PowerShell, Prometheus, Grafana, Elasticsearch, Logstash, Kibana"
9,AWS Cloud Architect,True,0.8169,0.7254,-0.0915,True,True,274,7,"cloud technologies, smart contract programming languages, kubernetes, plan migration to cloud, javascript framework, manufacturing of metal containers, db2, query languages, use interface description language, manage storage operations, types of storage facilities, integrated pest management, django, manage distribution channels, software architecture models, decision support systems, vagrant, triplestore, angular, implement a firewall, russian, naval architecture, xcode, c++, blast surface, decentralized application frameworks, manage database, move objects, web services, call routing, manage ict virtualisation environments, devops, bengali, maintain a central project repository, write basque, scala, monitor storage space, manage instrumentation systems, real-time computing, operate open source software, implement cloud security and compliance, agile development, jsss, blockchain design patterns, java (computer programming), moor vessels, remove computer virus or malware from a computer, proxy servers, tools for software configuration management, office software, manage donor database, erlang, perl, program management, architectural design, apply ict system usage policies, synfig, build networks, next.js, manage storage tanks, store archival documents, establish an information security management system, use session border controller, manage maintenance operations, dock operations, apply information security policies, kali linux, ensure infrastructure accessibility, maintain database security, design database scheme, web programming, embedded systems, design control systems, select scripts, latin, align software with system architectures, visual basic, internet of things, organise storage facilities, php, hardware platforms, greek, design enterprise architecture, java, spark, computer programming, database quality standards, manage aeronautical information management services, electrooptics, set up documentation control system, ibm websphere, coffeescript, prepare containers for beverage distillation, network engineering, ict encryption, chef (tools for software configuration management), develop script bible, mdx, install operating system, clean industrial containers, e-commerce systems, react to events in time-critical environments, maintain telephony system, architectural theory, typescript, green computing, product data management, mobile operating systems, genomics, node.js, hybrid vehicle architecture, store digital data and systems, information security strategy, use query languages, manage data, digital identity management, develop with cloud services, teradata database, distributed computing, distributed directory information services, mysql, lisp, apl, use markup languages, database development tools, visual flight rules, electroform, sql, types of containers, manage intellectual property rights, manage information access aids, implement ict security policies, direct distribution operations, ansible, manage meteorological database, swedish, ipc standards, spring boot, lasers, r, test pipeline infrastructure operations, kurdish, jenkins (tools for software configuration management), define software architecture, network management system tools, vertical markets, database management systems, maintain warehouse database, smed, manufacturing of steel drums and similar containers, cloud monitoring and reporting, mashing process, use functional programming, edit scripts, abap, design computer network, supercomputing, hardware architectures, apply techniques for stacking goods into containers, wordpress, use databases, software frameworks, react, project configuration management, microwave principles, ict network routing, vbscript, data warehouse, log transmitter readings, use scripting programming, objectstore, integrated development environment software, design cloud architecture, cognitive computing, staf, drupal, read scripts, manage software releases, sass, operate call distribution system, microsoft visual c++, database, perform vats, promote innovative infrastructure design, puppet (tools for software configuration management), data storage, sas language, manage membership database, unstructured data, salt (tools for software configuration management), metasploit, android (mobile operating systems), manage it security compliances, manage resources, postgresql, install containers, finish shells, openedge advanced business language, outline blockchain-based identity management, linq, prepare containers for beverage fermentation, nosql, ldap, biometrics, operate relational database management system, coordinate dock operations, data science, vegetation control, organise information, objects and resources, manage sales channels, sap r3, object-oriented modelling, maintain aquaculture containers, install recycling containers, network standards, patient record storage, manage digital identity, design cloud networks, id tech, cisco, learning management systems, ict infrastructure, manage cloud data and storage, automate cloud tasks, gimp (graphics editor software), e-learning software infrastructure, common lisp, use global distribution system, vyper, style sheet languages, dies, marketing management, resuscitation, fastapi, pour terrazzo, basque, use content management system software, haskell, organisational policies, python (computer programming), manage project changes, ict architectural frameworks, write dock records, software design methodologies, maintain ict identity management, litmos, mobility as a service, virtual reality, install low voltage wiring, supplier management, cloud security and compliance, lams, manage the customer experience, blackarch, information architecture, ict networking hardware, ml (computer programming), inter-organisational middleware system , iterative development, do cloud refactoring, asset management, manage ict data architecture, manage air navigation services, deploy cloud resource, radars, implement a virtual private network, maintain logistics databases, blockchain architecture, maintain database performance, manage administrative systems, objective-c, hadoop, track changes in text editing, manage grant applications","CloudWatch, CloudFormation, Route 53, SQS, SNS, EKS, AWS Professional certifications"
10,QA Automation Engineer,True,0.8356,0.6552,-0.1804,True,True,175,8,"abap, smart contract programming languages, kubernetes, perform product testing, understand written javanese, javascript framework, ict project management, query languages, db2, use databases, software frameworks, manage product testing, react, moem, manage several projects, assembly (computer programming), project configuration management, monitor manufacturing quality standards, replace defect components, understand spoken javanese, oversee development of software, use scripting programming, ajax framework, smart contract, integrated development environment software, test instrumentation equipment, vagrant, install automation components, groovy, docker, angular, swift (computer programming), manage software releases, manage quality, conduct fire tests, record production data for quality control, keep records of work progress, sass, build machines, xcode, c++, provide software testing documentation, quality control systems, database, test electromechanical systems, software metrics, manage database, test system accessibility for users with special needs, sas language, use manual knitting techniques, perform sample testing, manage membership database, devops, perform ict security testing, oracle weblogic, project management methodology (pm²), identify damaged goods before shipment, maintain a central project repository, scala, apache maven, manage research and development projects, postgresql, execute conversion testing, perform test run, agile development, incidents and accidents recording, automatic control system, ensure quality assurance for pharmaceutical products, java (computer programming), tools for software configuration management, manage donor database, joomla, monitor automated machines, wildfly, sql server, analyse test data, detect product defects, perform failure analysis of production process, operate relational database management system, test procedures, manage engineering project, japanese, develop ict test suite, web programming, maintain database security, design control systems, develop procedures in case of defects, manage system testing, mobile device software frameworks, internet of things, apache tomcat, monitor drivers, develop automated software tests, codenvy, javanese, cobol, manage corrective actions, computer programming, gimp (graphics editor software), database quality standards, perform software recovery testing, develop test procedures, set up documentation control system, manage project metrics, project management, style sheet languages, havok vision, asp.net, use concurrent programming, create game testing software, microsoft visio, genomics, use content management system software, monitor vehicle repairs, python (computer programming), grovo, write javanese, test package, perform quality audits, use query languages, assemble robots, manage data, manage project changes, execute integration testing, statistical quality control, automation technology, property management software, manage ict project, building automation, levels of software testing, develop mechatronic test procedures, mysql, moodle, execute software tests, manage project information, use markup languages, database development tools, samurai web testing framework, conduct patch testing, manage backlogs, perform project management, ml (computer programming), cyber attack counter-measures, oracle relational database, iterative development, call quality assurance management, tools for ict test automation, check quality of products on the production line, javascript, design automation components, ansible, manage meteorological database, hardware testing methods, perform software unit testing, agile project management, write rail defect records, spring boot, perform vehicle tests, maintain logistics databases, test pipeline infrastructure operations, jenkins (tools for software configuration management), manage tests, maintain database performance, objective-c, hadoop, database management systems, maintain warehouse database, track changes in text editing, develop automated migration methods, conduct performance tests, measure software usability, plan software testing, quality assurance methodologies, use automatic programming, use functional programming","Python, C#, Playwright, Cypress, Postman, JMeter, Jenkins, GitLab CI"
